Text_id,Text,Category,entity,entity_ID,Priority,Source,Target,Domain 1,Domain 2,Parent_entity,Hierarchy_level
,"One estimate suggests that around 60 percent of our genes are regulated by microRNAs. Some of these little molecules bind directly to the chromosomes and stop sections of DNA being transcribed, or alternatively turn on transcription. Some of them prevent the translation of a gene’s mRNA product into the corresponding protein by interacting with the mRNA in some way, perhaps labeling it for enzymatic destruction....Not all regulatory ncRNAs are long; some are surprisingly small. The first to be discovered, in 1993 by developmental biologist Victor Ambros and his colleagues, was just twenty-two nucleotides long. The researchers found it while studying genes called lin-4 and lin-14 in the nematode worm Caenorhabditis elegans; these genes have a key role in the organism’s development. Lin-4 seemed to downregulate lin-14; the researchers wanted to find out how, and they imagined that this involved the protein that lin-encoded. They discovered that not only is lin-4 tiny—much smaller than normal genes, and in fact “ridiculously small” in the researchers’ own estimation—but it didn’t make a protein at all. Rather, it encoded a mere scrap of ncRNA: the first so-called microRNA....Regulation of mRNA by microRNAs happens promiscuously. A given microRNA might target many (typically more than a hundred) mRNAs, and many different microRNAs might target a specific mRNA....Two of the genes that are central to maintaining stem cells in a pluripotent state are called Oct4 and Sox2. If Oct4 expression is turned off in a stem cell, the cell is apt to differentiate: to develop into a lineage of a particular tissue type. These two genes seem to activate the expression of a family of microRNAs called the Let- 7 family. In other words, the genes are in a sense just switches for making microRNAs, which themselves then determine if a cell will differentiate or not. These microRNAs act to usher a differentiating cell as swiftly as possible to its new state, by targeting the mRNAs made by the stem cell and accelerating their destruction. The microRNAs in effect say “We don’t need this stuff anymore, so get rid of it now!”",un-dogma,miRNA,mi_R,mi1,RNA,Transcription,Gene regulation,,RNA,2
,"Some small RNAs, such as those encoded in sections of the genome called small open reading frames (smORFs), are even translated into short protein- like molecules called peptides that have regulatory functions. (The function, if any, of many smORF peptides remains a puzzle.)",un-dogma,smORFs,smo_R,SR4,RNA,Protein,Gene regulation,,RNA,2
,"There are, for instance, Piwi- interacting RNAs (piRNAs) that are involved in silencing errant transposons.They do this in collaboration with so-called Piwi proteins, which play a key role in the differentiation of stem cells and germline cells.",un-dogma,piRNA,pi_R,SR1,RNA,DNA,Gene regulation,jumping genes,RNA,2
,"In response to such (DNA) damage, an enzyme called Dicer chops up certain ncRNAs into small fragments that activate the cell’s damage- limitation process, for example stopping cells from proliferating to reduce the chances of cancerous cells forming. In this and other ways, the genome “knows” when it is damaged and at risk, and mobilizes small RNAs to make repairs and suppress risks, using regulatory feedback loops to sense and act.",un-dogma,lncRNA,lnc_R,LNC4,RNA,Phenotype,Gene regulation,,RNA,2
,"There are small nucleolar RNAs (snoRNAs) that steer and guide chemical modifications of other RNA molecules, such as those in the ribosome or the “transfer RNA” molecules that ferry amino acids to the ribosome for stitching into proteins. If cells are stressed, this can trigger the conversion of transfer RNA into molecules called tiRNAs that regulate the cells’ coping mechanisms, and which also have roles in the development of cancer.",un-dogma,small RNA,SR,SR2,RNA,Phenotype,Gene regulation,,RNA,2
,"And so on: RNA seems to be a general- purpose molecule that cells— particularly eukaryotic cells like ours in which gene regulation is so important— use to guide, fine- tune, and temporarily modify its molecular conversations.",un-dogma,RNA,RNA,RNA2,RNA,Phenotype,RNA is all that,,RNA,1
,"Another chemical modification that can control the galaxy of RNAs is the attachment of a kind of tail or tag consisting of a string of A nucleotides, a process called polyadenylation. Many ncRNAs are polyadenylated by an enzyme called poly(A) polymerase, which can also perform the same operation on mRNA as a gene gets transcribed. Adding a poly(A) tail to different sites of an mRNA effectively creates different kinds of messages. This tail seems to be important for ensuring that the mRNA is transported out of the nucleus to where it will be translated to protein. It also influences the mRNA’s stability and longevity, acting as a kind of sell- by date: the poly(A) tail gets shortened over time, and if it gets too short, the molecule is broken down by enzymes.",un-dogma,mRNA,m_R,hn6,RNA,RNA,RNA modification,,RNA,2
,"For one thing, just because a piece of DNA is transcribed into RNA doesn’t mean it plays a significant role in the cell.",un-dogma,RNA,RNA,RNA5,DNA,RNA,RNA is not all that,,RNA,1
,"The Human Genome Project confirmed that just 2 percent or so of our genome consists of protein- coding genes, and most of the rest of the DNA was therefore considered “junk” accumulated across millennia of evolution, with no useful function. But according to ENCODE, transcription is not confined to that small proportion of “meaningful” DNA. Rather, at some point or another our cells appear to transcribe up to 80 percent of the genome. Genes themselves seem, then, to be only a small part of what is going on with our genome.",un-dogma,Junk DNA,JUNKd,JK1,Transcription,Transcription,RNA is all that,,DNA,2
,"ENCODE’s take- home message that everything has a function implies purpose, and purpose is the only thing that evolution cannot provide.”",un-dogma,Junk DNA,JUNKd,JK2,DNA,Phenotype,DNA is not all that,,DNA,2
